"","gross","movie_title","budget","movie_facebook_likes"
"2516",91121452,"The Imitation Game",1.4e+07,165000
"697",167735396,"Gone Girl",6.1e+07,146000
"641",148775460,"Les Misérables",6.1e+07,144000
"2097",137387272,"The Conjuring",2e+07,131000
"263",61656849,"Ender's Game",1.1e+08,123000
"2071",132088910,"Silver Linings Playbook",2.1e+07,117000
"293",85017401,"The Expendables 2",9.2e+07,108000
"2718",106952327,"Black Swan",1.3e+07,106000
"519",117698894,"Now You See Me",7.5e+07,105000
"1162",166147885,"Fifty Shades of Grey",4e+07,101000
"1706",70235322,"The Big Short",2.8e+07,99000
"1502",101470202,"This Is the End",3.2e+07,97000
"2822",124868837,"The Fault in Our Stars",1.2e+07,93000
"924",127997349,"Into the Woods",5e+07,90000
"1112",136019448,"Argo",44500000,89000
"1061",60962878,"Prisoners",4.6e+07,86000
"1161",126546825,"Lucy",4e+07,83000
"133",79711678,"Dark Shadows",1e+08,82000
"459",85707116,"Fury",6.8e+07,82000
"1570",66359959,"Warm Bodies",3.5e+07,81000
"1698",161029270,"Straight Outta Compton",2.8e+07,76000
"1571",66468315,"Looper",3e+07,75000
"1822",169705587,"The Help",2.5e+07,75000
"910",218628680,"Ted",5e+07,74000
"1169",96917897,"The Social Network",4e+07,74000
"637",182204440,"Lincoln",6.5e+07,71000
"351",58229120,"The Secret Life of Walter Mitty",9e+07,70000
"1330",109712885,"Creed",3.5e+07,70000
"339",67344392,"A Good Day to Die Hard",9.2e+07,66000
"825",107100855,"Captain Phillips",5.5e+07,65000
"1532",93749203,"Flight",3.1e+07,64000
"2510",138795342,"The King's Speech",1.5e+07,64000
"1051",139852971,"Taken 2",4.5e+07,63000
"1157",150117807,"American Hustle",4e+07,63000
"2717",73000942,"Justin Bieber: Never Say Never",1.3e+07,62000
"227",58607007,"RoboCop",1e+08,60000
"2719",58607007,"RoboCop",1e+08,60000
"653",59617068,"The Dictator",6.5e+07,59000
"1166",125069696,"Lone Survivor",4e+07,58000
"426",102981571,"The Expendables",8e+07,57000
"2520",71588220,"Mama",2e+07,57000
"828",101530738,"The Equalizer",5.5e+07,56000
"1179",86208010,"Dumb and Dumber To",3.5e+07,55000
"1195",72306065,"Bridge of Spies",4e+07,55000
"356",102515793,"The Girl with the Dragon Tattoo",9e+07,54000
"1181",75274748,"The Intern",3.5e+07,54000
"10",330249062,"Batman v Superman: Dawn of Justice",2.5e+08,197000
"97",292568851,"Inception",1.6e+08,175000
"98",303001229,"The Hobbit: An Unexpected Journey",1.8e+08,166000
"4",448130642,"The Dark Knight Rises",2.5e+08,164000
"273",228430993,"The Martian",1.08e+08,153000
"241",274084951,"Gravity",1e+08,147000
"428",407999255,"The Hunger Games",7.8e+07,140000
"8",458991599,"Avengers: Age of Ultron",2.5e+08,118000
"15",291021565,"Man of Steel",2.25e+08,118000
"78",356454367,"Inside Out",1.75e+08,118000
"792",363024263,"Deadpool",5.8e+07,117000
"794",350123553,"American Sniper",58800000,112000
"95",333130696,"Guardians of the Galaxy",1.7e+08,96000
"32",408992272,"Iron Man 3",2e+08,95000
"45",350034110,"Furious 7",1.9e+08,94000
"48",228756232,"Star Trek Into Darkness",1.9e+08,92000
"82",241407328,"Maleficent",1.8e+08,89000
"23",258355354,"The Hobbit: The Desolation of Smaug",2.25e+08,83000
"47",233914986,"X-Men: Days of Future Past",2e+08,82000
"184",424645577,"The Hunger Games: Catching Fire",1.3e+08,82000
"30",304360277,"Skyfall",2e+08,80000
"3310",304360277,"Skyfall",2e+08,80000
"27",407197282,"Captain America: Civil War",2.5e+08,72000
"548",336029560,"Minions",7.4e+07,70000
"20",255108370,"The Hobbit: The Battle of the Five Armies",2.5e+08,65000
"79",362645141,"The Jungle Book",1.75e+08,65000
"172",292298923,"The Twilight Saga: Breaking Dawn - Part 2",1.2e+08,65000
"1753",362645141,"The Jungle Book",1.75e+08,65000
"749",257756197,"The Lego Movie",6e+07,64000
"38",234903076,"Oz the Great and Powerful",2.15e+08,60000
"4430",234903076,"Oz the Great and Powerful",2.15e+08,60000
"816",329691196,"Forrest Gump",5.5e+07,59000
"18",241063875,"Pirates of the Caribbean: On Stranger Tides",2.5e+08,58000
"124",400736600,"Frozen",1.5e+08,58000
"21",262030663,"The Amazing Spider-Man",2.3e+08,56000
"37",245428137,"Transformers: Age of Extinction",2.1e+08,56000
"429",254455986,"The Hangover Part II",8e+07,56000
"506",368049635,"Despicable Me 2",7.6e+07,56000
"86",259746958,"Captain America: The Winter Soldier",1.7e+08,55000
"203",337103873,"The Hunger Games: Mockingjay - Part 1",1.25e+08,52000
"53",352358779,"Transformers: Dark of the Moon",1.95e+08,46000
"35",268488329,"Monsters University",2e+08,44000
"56",237282182,"Brave",1.85e+08,39000
"102",281666058,"The Hunger Games: Mockingjay - Part 2",1.6e+08,38000
"1363",255950375,"The Blind Side",2.9e+07,38000
"504",323505540,"The Secret Life of Pets",7.5e+07,36000
"5",73058679,"John Carter ",263700000,24000
"7",200807262,"Tangled ",2.6e+08,29000
"1",760505847,"Avatar ",2.37e+08,33000
"17",623279547,"The Avengers ",2.2e+08,123000
"26",658672302,"Titanic ",2e+08,26000
"29",652177271,"Jurassic World ",1.5e+08,150000
"66",533316061,"The Dark Knight ",1.85e+08,37000
"96",187991439,"Interstellar ",1.65e+08,349000
